pressure_level,2024-02-14T21,2024-02-15T00,2024-02-15T03,2024-02-15T06,2024-02-15T09,2024-02-15T12,2024-02-15T15,2024-02-15T18,2024-02-15T21,2024-02-16T00,2024-02-16T03,2024-02-16T06,2024-02-16T09,2024-02-16T12,2024-02-16T15,2024-02-16T18,2024-02-16T21,2024-02-17T00,2024-02-17T03,2024-02-17T06,2024-02-17T09,2024-02-17T12,2024-02-17T15,2024-02-17T18,2024-02-17T21,2024-02-18T00,2024-02-18T03,2024-02-18T06,2024-02-18T09,2024-02-18T12,2024-02-18T15,2024-02-18T18,2024-02-18T21,2024-02-19T00,2024-02-19T03,2024-02-19T06,2024-02-19T09,2024-02-19T12,2024-02-19T15,2024-02-19T18,2024-02-19T21,2024-02-20T00,2024-02-20T03,2024-02-20T06,2024-02-20T09,2024-02-20T12,2024-02-20T15,2024-02-20T18,2024-02-20T21,2024-02-21T00,2024-02-21T03,2024-02-21T06,2024-02-21T09,2024-02-21T12,2024-02-21T15,2024-02-21T18,2024-02-21T21,2024-02-22T00,2024-02-22T03,2024-02-22T06,2024-02-22T09,2024-02-22T12,2024-02-22T15,2024-02-22T18,2024-02-22T21
750.0,310.11348682936824,309.38590945926387,309.4931244123448,309.51711193584003,309.25775512103235,309.29605564197215,309.4955099119188,309.8326605183935,309.48543780260604,310.0802223630849,310.0071995705661,310.31029054423243,309.8225884090806,309.2482131227359,308.4024209959588,309.4284508683354,310.1403899634541,309.95286319137807,309.38856001434624,309.03895179898467,309.0889147622867,308.39924032986,308.75017382276286,308.6356698432055,309.2997664190876,309.41705348148145,309.4957749674272,309.77620369513943,309.58297822963635,309.84385911361636,309.9012436311492,310.2725863981861,310.2574119703396,309.86254552694703,309.73816822970787,309.5771470084551,309.31619986059815,310.2436290839114,310.04072909235776,310.8513351004168,311.3298265566577,312.1314869413136,311.2332138239061,310.4184331915923,310.51597361862275,310.40332502762294,309.89547867384516,309.80204660719255,309.99076612905554,310.15205240581645,310.4185657193465,310.4608420729099,310.71814470752867,310.5570572223991,310.8036913728115,310.6296824316555,311.1369986744167,310.9166050193195,310.69197047609066,310.147148878914,310.26880935719373,311.1360709801379,310.6939583924023,310.67858517292467,311.43823425952564
700.0,312.8528696975578,312.3803290379469,312.4475065859522,312.2540839074903,312.75527977872514,312.266654354099,312.36911025226397,312.82340348937845,312.3542419820816,313.2026795451186,313.0223679776355,312.97019386590506,312.52914690586204,311.8934607725241,311.66759823184617,312.8284046348033,313.3497402538305,313.1127940935622,312.3992522909062,312.09891323322444,311.6567849444409,311.7636337406144,311.8875810474974,312.0067975411407,312.5342832173797,312.4828525191583,312.85651918205707,312.91464060186036,312.67222021484326,312.9660037170356,312.90213773829805,313.5970942032263,313.49822020651436,313.41712055097463,312.9802637398012,312.90598997193626,313.00486396864824,314.1399212309714,314.4995982032896,314.3664596021121,314.649902898223,315.61850311755114,314.7977746034902,314.11829465616074,313.68988572577285,313.7277998147375,313.1254997062634,312.99344243382643,313.4669968391314,313.38920875285964,313.76091550741637,313.91480210380263,314.23440232967505,314.35929579920605,314.5755615473117,314.5146016395643,314.74695215268537,314.7870964821776,314.5719120628124,314.2850220313411,314.0624710599311,314.45364173181713,314.56454551076746,314.73444928912306,314.80372191156323
650.0,314.7586382286977,316.0202174772471,315.5259677825868,315.32882013901826,316.4828517584783,315.43415883092496,314.7597426972893,315.16646325607957,315.6979887657003,315.75072714094085,315.53618411705736,315.3641631339438,314.57391585678266,314.6158856632568,314.6236169433968,315.10157572633364,315.40640905756567,315.44975944977875,314.89421174829465,314.731578748208,314.0778714006614,315.02702409641284,315.0696841957565,315.3942599030599,315.2031868367444,315.7155222045892,316.36570905850067,316.0249804980477,315.89320358923385,315.96927386346806,315.8793287025542,316.3507297032297,316.38745328389433,316.89744165598256,316.096839985777,316.013038431403,316.19610410043083,317.6432340723388,317.97347018117335,318.4287873579861,318.1726887033507,318.9801933022527,318.5127269709341,317.9037506013401,317.57710401542766,317.61244701035304,317.3236284736967,316.8188863274178,317.24210488579246,316.69035379509126,317.082992379341,317.1107421527004,317.5960180400556,317.8118035911042,318.3143368002003,318.1465956328785,318.20043847671013,317.8677173135448,317.4408402029612,317.7677629060213,317.644752716652,317.51677241862126,317.865508376362,318.6019128096914,319.02174893300486
600.0,317.5432791460812,318.0849815734765,317.77450910009594,317.06951905703727,318.8207646098004,318.46961148476663,317.50146847632675,318.27849717335437,318.2840060115991,318.60563741373176,318.18371690509304,317.90502619081644,317.69215903095073,317.3274456886994,317.39256298179686,317.28888382098654,318.3892389472991,318.1255209728669,317.9225414713893,317.68707394949433,316.75961159270764,317.5466692003857,317.66023601958415,318.0542592063426,318.4234219948687,318.8922382547187,319.15242492258363,319.1611825628702,318.66227957106827,318.54694709858626,318.3974315785348,319.30271733007993,319.5034367953548,319.61728611907847,318.8060743744811,318.72619621993306,319.12572824493617,320.30970471075807,321.12416525739707,320.7940587195034,321.5172703044482,322.2667548102522,321.45469555207893,321.4520117590878,321.1690834769308,320.6389637350758,320.7491404999697,320.45914960467826,320.557319927244,319.59355573894743,320.0336977894725,320.19062905331504,320.79589499891836,320.98813932843177,321.83918421110627,321.677167865807,322.1079872669949,321.4312476764733,321.09407852544524,321.26004993409964,321.5172703044482,321.414862414002,322.1392040170481,322.65957735277794,322.4955834758012
550.0,322.7861395790114,322.3237680718207,322.40399162803243,321.7604654839814,322.2590389569714,322.71706622826605,321.00152747296175,321.9120793167495,322.46799670356586,321.7461295055247,321.19455635460423,321.0572785002928,321.7037008016078,320.90899524837823,321.4287106693952,321.13243378129243,321.3180774619121,321.60552107035977,322.31985825951455,321.7269424636511,321.33733690771726,322.1828700209294,322.39957498820496,322.4110872133291,323.09711446522863,323.4687638461259,322.87063496718747,322.70490236775737,322.69056638930084,322.7017165947671,322.61555591616434,323.4535590204901,323.29644248892055,323.4188775372541,322.6898423499848,322.942170051607,323.1352713371813,323.412578395205,323.8131169448102,324.38365992580964,325.1664912342568,325.49245373431506,324.8418320049674,324.66227025460205,324.3564360475284,323.90311503178765,323.55796548985575,323.3070858668656,323.839327168049,323.3513246690723,323.77626334362634,323.7168921197153,323.93504516562274,324.2520295781627,324.85240297898093,324.9854090013281,325.5192431890068,324.924951718443,324.8182283232663,324.6960828906589,324.7598707543975,324.1558047530679,324.4385421059616,324.15833889067375,323.9456161396362
500.0,326.8019063664846,326.2037087480885,326.7069685355054,326.45771952784025,325.8694918697506,326.6694695803223,325.2501638877194,325.85074239215913,325.6596762871787,325.3879576674795,324.48649468930915,324.2409658160868,325.2608778749146,324.5664775798286,324.90471220336457,324.49616703886034,324.92078318415724,325.3187631668441,326.2406868844495,326.26457014757204,326.35132368277726,326.5206642026119,325.65625376349146,326.07692656627916,326.3897154702267,327.4248056775808,326.87110086712,326.6163460604797,326.73159582551637,327.23612045864405,327.37302140613747,327.4117108043424,326.6019119388416,326.8873206532905,326.71455760976863,326.6923856084897,327.01871580180887,326.89371928453204,327.4838814125319,328.02880670570767,328.846045840094,328.61539750464266,329.1753521409673,328.2485922485862,327.95217193618686,327.6657215840941,327.2924432941073,327.06380383125503,327.5314991333993,327.2974282742607,327.1597832998785,327.10427889399233,326.94222983766576,327.5612602089414,327.6511386570786,328.01176848996,328.23705983181367,327.9829002466841,327.78067373837547,327.40605619998945,327.10331165903733,326.43108336523017,326.5635201513925,326.33034212452014,326.0340706174984
450.0,331.67303329643704,331.17893002269244,331.52627450283865,331.34838505605285,330.12830881585666,329.1252270301448,328.65059958376384,328.02246581304416,328.39204647403903,328.5141154392471,327.7702001751454,327.75425146612326,328.640631640625,328.6562736437043,328.83784356180286,328.08396035456235,328.8886033953254,329.47456509891896,329.6449402501077,329.98661067031344,330.7320594641288,331.3302894054317,330.7648770000014,331.02281669784077,330.97773092425894,332.12649803276946,331.69910330156944,331.2036198510824,331.19978602679834,330.81594353946656,331.22616273787344,330.88157861121164,330.78557965113583,330.9780376302015,330.5425151915192,330.5046370075915,330.58346043487415,330.4893017104547,330.72561863933134,331.2322968567282,332.8270144059742,331.9345001126179,333.06762521804905,332.3697158453575,331.745722604865,331.80200314535665,330.9688364519196,330.9400060933026,331.25391962569074,331.0718896486783,330.554170017343,330.54772919254555,330.01528767595926,330.68850722026053,330.62701267874235,330.7641102351445,330.8995209088616,330.76687058862905,330.38042110078413,329.9712753731769,329.50370216347875,329.10467773198167,329.21401840056626,329.0370490716087,329.1933157494318
400.0,336.6865703973518,336.547159707328,335.64289343978555,335.51862918991804,332.93247365917244,332.77775792752493,331.97830740488513,330.94674363440737,331.4371790226049,331.4892994298961,331.4987758675854,331.90309065887413,331.6185398008097,332.1836170046981,332.6347390541133,332.5221320121147,332.6235973010143,333.2253312691027,333.74134114395116,333.58305687928276,334.277295153351,334.40818101449094,334.0341194531476,334.54013743553713,334.8510756127742,335.29341510592093,335.6380560950236,335.18992764830955,335.30015566829394,335.8355942229241,335.4673216151483,334.1574320942095,334.10572801577064,334.37416099968993,334.11357878841716,334.12230186913536,333.8500624499935,334.6264166339138,334.4628985208141,334.8948496178328,337.2810086979303,337.303173253028,337.9996319476426,337.0800209881096,336.5578653063913,336.77229449059143,335.31161462432834,335.9166395728696,335.3422643579428,335.3671647883566,334.35576322944786,334.03241448737083,333.71707511940787,334.65932643844144,333.9339229759889,333.696179376051,333.5568876371281,333.3298496362536,332.3216002815134,332.058401146025,331.50456482115305,331.63893991458013,331.94967983998276,332.3344271752058,332.77355498863346
350.0,341.3999969173069,341.46728458526786,340.4266222041652,339.61799620728334,335.78115740202657,335.8542119959225,335.98876673568026,335.3505945925003,334.7607204540244,335.2468105218375,335.63502761807126,336.2660116999968,335.5641768137292,335.85975236405267,337.0953574379162,336.766457294155,336.38120604554484,336.5134746110927,338.0702562671975,338.6354767973021,338.62297492572225,337.70877299190465,338.7180674151545,339.1703797739208,339.1541499966471,338.44794872360035,339.09143467710584,339.00563105766145,338.5550899690036,338.9298165777826,338.4297417145775,337.2613625201829,337.3690186696874,337.2877050140065,337.5989748413386,337.68580826898557,337.33394340230535,338.9120420882049,339.319001693727,339.8574884028908,342.4488771678665,341.6009330938074,340.2717596466514,339.9698404777996,339.6206119201179,339.1238118469973,338.67370327778445,338.9003846593509,338.21002183646067,338.81979186941186,338.1468945936384,337.8656127811678,337.63075472247203,337.9676255817219,337.6175319851502,336.9567246576758,336.5531840153867,336.41871166028517,335.28647873380345,334.94886641264793,334.3594041974529,334.5618027016012,335.5892423453816,335.8134521872617,336.1578818387189
300.0,345.36209298829385,345.04576130615436,344.27009544503045,342.0983687846324,341.39002860233614,339.07885083160414,339.9717985418115,341.7072642737694,340.85394142760356,340.69245019734626,340.09637687590856,340.0557188812456,339.6523244206988,340.4653121255209,341.56495053067187,342.3261095159871,341.39319256486436,341.30858347168265,341.93231456079747,342.70389094654513,342.28601113374395,342.03444382743345,342.25949411446163,341.8372019729649,341.5341072769122,341.33357231858776,340.9739567681227,340.8886158740843,340.9409826824563,341.17182280567516,340.8028445089535,339.99310686087796,339.8751362580469,340.55228880970986,340.8353450764184,341.2555924802268,341.20163292881347,344.3545108262204,344.6724137278465,345.0512498125808,343.9360283538904,342.58172325056466,341.45315718801464,341.0400986514467,340.7831719800378,340.5352206309022,340.3267650044804,340.5201756662281,340.2356988449152,340.4845541833443,339.69102377189205,338.9192106270435,338.3756763024149,339.15762704148585,339.514293864969,339.22490967320437,338.51575159583285,338.73890781005497,337.60397077533963,337.4685015226086,337.6247194819861,338.6162450723186,339.0615674172504,339.42710194523397,339.1689699547665
250.0,348.65397230425145,346.9364489671656,346.05067066355923,344.5111419427108,345.1242370291362,343.97858658582345,344.694601107039,345.50739028075105,343.89165265478493,344.00139710606993,344.7078883484548,344.27881928819266,344.48640409222486,344.8695346693662,344.08678917291695,345.2211477284735,345.43755290266046,345.7280129069917,344.5814101357961,344.03243846016284,343.91527945607396,343.0175970539294,343.25649530573554,343.7704122454828,343.2319388510368,342.77865345317696,343.3333164216352,343.7200975889949,344.1095770186901,343.5850484253887,343.4505661236176,344.5405507347182,343.6352497095094,346.6436081431265,346.20694313427384,346.397068593783,345.50151759213884,346.8473156122064,346.5579213081253,346.5002374477803,345.94709366904056,344.955017434107,343.71338594486673,342.6188210901379,342.1900694725036,341.8621285636322,341.66250249976554,342.0247725613736,342.0984872744165,341.7157194888496,341.46135724618085,341.72791835554204,342.23870621795965,342.1664880201613,342.52696679837004,345.5404269885036,344.2146505284537,344.00495699839485,341.63794604506705,340.31384749604894,340.513949723857,341.29669522030633,341.2987132484395,342.380126908593,341.9648666026349
225.0,349.6735658660271,348.07126182512036,346.9639498579851,346.11931106751393,347.8848599097884,347.45398803855767,347.4233066151115,346.8891974790022,345.7334682160708,346.4174793562985,347.41059473822264,347.2054054166069,347.232348052733,346.9621973014288,345.88259909530456,346.97955929504684,346.8141646909703,347.37851126953154,345.95552881546877,345.19368079671904,345.18559566913876,344.5619893115527,345.2801168860773,345.63782536293627,345.575013735957,344.91829574316665,345.35846784785616,345.7514377626283,346.53258727091884,345.9006854789657,346.1591758873153,347.71885775277207,347.14130858148644,348.85986554063044,347.7554511336685,346.8408970203095,345.6051810761469,347.14021031271113,347.9681647647662,347.7120110984919,346.94338652772416,346.3518169039879,344.65190714660326,343.87449642563297,343.394646440508,343.47654925024074,343.69505800168474,343.6700782289019,342.8433856175675,342.9085106192009,343.07177878798933,343.7299221934455,344.1553961904826,343.55471327265354,344.43423962230634,346.755956445879,347.89911403644646,345.8901234047864,343.76179535535005,342.6151092842493,342.4385216856327,341.65017501175106,342.41277078796514,344.19005007545655,344.5520114228921
200.0,350.70801609492213,349.49496919791267,348.15601134872895,347.31156211823696,350.9496877881546,349.72656318153713,349.4274219596542,349.5411043241506,349.9368658889878,350.3790525860947,351.1198971616981,350.49870424141403,349.8851964809746,349.6606593107927,348.3024160604891,348.27638801912786,348.6913383164075,349.3896486740022,348.34891369426697,348.07604218543827,347.3865770118162,347.6687528808341,347.65882017424235,348.1046561139169,348.092838368118,348.03904224920456,348.1344784008619,347.93741930220045,348.0185243224491,347.1353351195319,349.0618451893019,350.35486124960204,350.2282736166872,349.2434856339353,347.96799077139434,347.04149400105007,347.0756905456424,348.8397005688829,350.13506084460744,348.8999251548363,348.11785138836734,347.92178314364816,345.9120171755598,345.52200739702175,345.4569977115423,344.80881006312416,345.69538266974683,345.9432894926641,345.85445097823185,345.6136251359262,346.21659601054046,346.33564348662685,346.53722184595165,345.7618423853855,345.87644310231605,347.1686616460288,348.42958370546773,347.59192544955556,345.69581767879447,344.8623161760059,344.5064546077213,343.68624504806075,345.37596519280174,346.0435349110171,347.88052978561353
175.0,351.69799994906106,350.5578406287026,349.68218360817644,350.2111882078405,354.9929177771074,355.1071044367787,355.264927071496,355.351646667473,355.71798298041574,356.1740266229549,355.7342272127834,353.92795393733735,353.05003728634273,354.41058589838843,352.8538009336622,350.972708782706,351.1215180025546,353.29357523682864,352.4337356295813,353.12121564609794,351.24637513943793,352.07997792624616,351.52792509580416,351.8926796674188,352.6300473032773,353.8071892423024,352.3539957810509,352.38497782547364,350.87416378727744,351.6969956688531,351.3706548152015,351.9548446123059,352.5539228634965,353.31002032523793,354.4406138766133,354.25818637679566,354.2139478336248,353.7503218755137,351.7366647370766,352.04897077481854,350.6334127143691,350.29597456441707,350.2806592912423,351.8814568360922,352.45173735231316,354.23855269872547,354.1745047284481,353.7093723500246,353.8373176485482,352.8357741039251,352.1668230572494,352.13039279269753,350.5697664561748,350.10566346496495,349.85198228437594,349.33615886244434,349.7172580944472,351.76039085699495,353.3288505791415,353.2329167122539,352.40554046273644,351.9487185030359,351.89682232327783,352.29670159517366,351.406783795691
